,timestamp,bids,asks
0,2021-11-24 20:29:49.552,"[[57011.5, 11800.0], [57010.5, 1200.0], [57010.0, 70300.0], [57009.5, 10000.0], [57004.0, 2000.0], [56999.0, 126710.0], [56997.5, 3000.0], [56997.0, 16700.0], [56996.5, 95870.0], [56996.0, 580.0]]","[[57017.0, 5000.0], [57017.5, 2000.0], [57018.5, 20.0], [57019.0, 2510.0], [57019.5, 20000.0], [57021.5, 5510.0], [57022.0, 13800.0], [57023.5, 3000.0], [57024.0, 2000.0], [57027.0, 800.0]]"
1,2021-11-24 20:29:49.820,"[[57023.0, 247480.0], [57022.0, 2360.0], [57020.5, 10000.0], [57017.0, 100.0], [57016.5, 2250.0], [57011.5, 3600.0], [57010.0, 10.0], [57009.5, 570.0], [57009.0, 27830.0], [57007.5, 20000.0]]","[[57023.5, 3000.0], [57027.5, 2000.0], [57028.5, 5000.0], [57029.0, 9960.0], [57029.5, 3600.0], [57030.5, 570.0], [57032.5, 1220.0], [57034.0, 45400.0], [57036.0, 570.0], [57037.0, 2420.0]]"
2,2021-11-24 20:29:50.149,"[[57023.0, 237490.0], [57022.0, 2360.0], [57020.5, 10000.0], [57017.5, 1000.0], [57017.0, 100.0], [57016.5, 2250.0], [57013.5, 3000.0], [57011.5, 3600.0], [57010.5, 20000.0], [57010.0, 31400.0]]","[[57023.5, 3000.0], [57030.5, 570.0], [57031.5, 2000.0], [57032.5, 1020.0], [57034.0, 960.0], [57035.0, 20000.0], [57035.5, 200.0], [57036.0, 5570.0], [57036.5, 43990.0], [57037.0, 20.0]]"
3,2021-11-24 20:29:50.481,"[[57030.0, 67730.0], [57026.0, 10000.0], [57023.0, 152510.0], [57022.0, 2360.0], [57017.0, 100.0], [57016.5, 2250.0], [57012.0, 32800.0], [57011.5, 20990.0], [57011.0, 550.0], [57010.5, 27460.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57038.0, 5000.0], [57038.5, 14250.0], [57039.0, 3570.0], [57039.5, 200.0]]"
4,2021-11-24 20:29:50.809,"[[57030.0, 135140.0], [57026.0, 10000.0], [57024.0, 1000.0], [57017.0, 3100.0], [57016.5, 2250.0], [57012.0, 32800.0], [57011.5, 20990.0], [57011.0, 550.0], [57010.5, 106660.0], [57010.0, 36400.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57039.0, 3570.0], [57040.5, 290.0], [57041.0, 3020.0], [57041.5, 5000.0]]"
5,2021-11-24 20:29:51.144,"[[57030.0, 77740.0], [57026.0, 10000.0], [57022.0, 1000.0], [57017.0, 100.0], [57016.5, 2250.0], [57016.0, 3000.0], [57012.0, 32800.0], [57011.5, 20990.0], [57011.0, 550.0], [57010.5, 106660.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57039.0, 3570.0], [57040.5, 290.0], [57041.0, 3020.0], [57042.0, 15020.0]]"
6,2021-11-24 20:29:51.442,"[[57030.0, 77740.0], [57026.0, 10000.0], [57022.0, 1000.0], [57017.0, 20100.0], [57016.5, 2250.0], [57016.0, 3570.0], [57014.5, 79210.0], [57012.0, 32800.0], [57011.5, 20420.0], [57010.5, 7460.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57039.0, 3000.0], [57040.5, 290.0], [57041.0, 3020.0], [57042.0, 20020.0]]"
7,2021-11-24 20:29:51.792,"[[57030.0, 77740.0], [57027.5, 1000.0], [57026.0, 10000.0], [57018.5, 1000.0], [57017.0, 20100.0], [57016.5, 2250.0], [57016.0, 3570.0], [57015.0, 540.0], [57014.5, 79210.0], [57012.0, 32800.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57039.0, 3000.0], [57040.5, 290.0], [57041.0, 3020.0], [57042.0, 20020.0]]"
8,2021-11-24 20:29:52.110,"[[57030.0, 67240.0], [57026.0, 10000.0], [57023.0, 1000.0], [57018.5, 1000.0], [57017.5, 20000.0], [57017.0, 100.0], [57016.5, 2250.0], [57016.0, 570.0], [57015.0, 540.0], [57014.5, 79210.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57039.0, 3000.0], [57040.5, 290.0], [57041.0, 3020.0], [57042.0, 15020.0]]"
9,2021-11-24 20:29:52.469,"[[57030.0, 67240.0], [57026.0, 10000.0], [57019.0, 1000.0], [57017.5, 20000.0], [57017.0, 100.0], [57016.5, 2250.0], [57016.0, 1570.0], [57015.0, 540.0], [57014.5, 79210.0], [57012.0, 32800.0]]","[[57030.5, 4040.0], [57031.0, 3000.0], [57031.5, 7000.0], [57032.5, 1020.0], [57034.0, 960.0], [57037.5, 3600.0], [57039.0, 3000.0], [57040.0, 200.0], [57040.5, 310.0], [57041.0, 3020.0]]"
