,timestamp,mid_price,net_ofi
87,2021-11-28 19:58:06.047,54443.25,-0.5622207128302291
88,2021-11-28 19:58:06.391,54443.25,-0.6240444539956406
89,2021-11-28 19:58:06.809,54443.25,-0.6240444539956406
90,2021-11-28 19:58:07.010,54443.25,-0.6240444539956406
91,2021-11-28 19:58:07.464,54443.25,-0.6240444539956406
92,2021-11-28 19:58:07.722,54443.25,-0.6240444539956406
93,2021-11-28 19:58:08.102,54443.25,-0.5622207128302291
94,2021-11-28 19:58:08.462,54443.25,-0.5622207128302291
95,2021-11-28 19:58:08.788,54443.25,-0.5906526407745787
96,2021-11-28 19:58:09.115,54443.25,-0.6376115747752392
97,2021-11-28 19:58:09.391,54443.25,-0.5906526407745787
98,2021-11-28 19:58:09.489,54443.25,-0.5906526407745787
99,2021-11-28 19:58:09.946,54443.25,-0.5906526407745787
100,2021-11-28 19:58:10.356,54443.25,-0.5906526407745787
101,2021-11-28 19:58:10.735,54443.25,-0.6111787044206024
102,2021-11-28 19:58:11.093,54443.25,-0.6675283732660782
