,timestamp,bids,asks
0,2021-11-19 10:01:38.574,"[[56577.5, 78570.0], [56576.0, 74800.0], [56573.5, 20.0], [56569.0, 75800.0], [56567.0, 5880.0], [56565.0, 10.0], [56563.5, 3000.0], [56561.0, 2000.0], [56560.0, 1370.0], [56558.5, 20000.0]]","[[56578.0, 560.0], [56586.5, 1000.0], [56592.5, 3000.0], [56595.0, 150.0], [56597.5, 4620.0], [56598.0, 20000.0], [56603.5, 19810.0], [56609.0, 2000.0], [56614.0, 19810.0], [56614.5, 19820.0]]"
1,2021-11-19 10:01:38.675,"[[56577.5, 20.0], [56569.0, 75800.0], [56567.0, 5900.0], [56565.0, 10.0], [56563.5, 3000.0], [56562.0, 5000.0], [56561.0, 12000.0], [56560.0, 1370.0], [56558.5, 20000.0], [56557.0, 150.0]]","[[56578.0, 14460.0], [56585.5, 19800.0], [56586.5, 1000.0], [56592.5, 3000.0], [56595.0, 5150.0], [56597.5, 4620.0], [56598.0, 20000.0], [56606.0, 2700.0], [56609.0, 2000.0], [56611.0, 143030.0]]"
2,2021-11-19 10:01:38.968,"[[56565.0, 10.0], [56551.5, 20.0], [56550.0, 1810.0], [56549.5, 44910.0], [56549.0, 20000.0], [56547.5, 2000.0], [56545.5, 20000.0], [56545.0, 5880.0], [56541.5, 5580.0], [56533.0, 2000.0]]","[[56565.5, 86900.0], [56567.0, 3140.0], [56567.5, 74820.0], [56577.5, 510.0], [56578.0, 560.0], [56578.5, 510.0], [56582.5, 20000.0], [56588.5, 2000.0], [56589.0, 10010.0], [56593.0, 15090.0]]"
3,2021-11-19 10:01:39.340,"[[56545.0, 5880.0], [56542.5, 150.0], [56542.0, 20000.0], [56536.5, 20.0], [56535.0, 1000.0], [56529.5, 3000.0], [56528.0, 16540.0], [56525.5, 19780.0], [56524.0, 450.0], [56523.5, 5000.0]]","[[56565.5, 12100.0], [56566.5, 3000.0], [56567.0, 3140.0], [56568.5, 1000.0], [56571.5, 5000.0], [56577.5, 510.0], [56578.0, 560.0], [56578.5, 15510.0], [56589.0, 10010.0], [56590.5, 20000.0]]"
4,2021-11-19 10:01:39.672,"[[56555.5, 2000.0], [56546.5, 20.0], [56545.0, 5880.0], [56542.5, 150.0], [56539.0, 20000.0], [56533.5, 16100.0], [56531.0, 15000.0], [56529.5, 20000.0], [56528.0, 16540.0], [56527.5, 1070.0]]","[[56556.0, 5100.0], [56565.5, 2600.0], [56567.0, 3140.0], [56577.0, 2000.0], [56577.5, 510.0], [56578.0, 560.0], [56578.5, 510.0], [56581.5, 150.0], [56583.0, 19800.0], [56588.0, 5000.0]]"
5,2021-11-19 10:01:40.006,"[[56545.5, 12000.0], [56545.0, 5880.0], [56542.5, 150.0], [56540.0, 20.0], [56531.5, 16780.0], [56528.5, 15450.0], [56528.0, 16540.0], [56527.5, 1070.0], [56524.0, 450.0], [56522.5, 4060.0]]","[[56546.0, 2600.0], [56569.5, 2000.0], [56572.0, 19800.0], [56577.5, 2320.0], [56578.0, 30500.0], [56578.5, 510.0], [56580.0, 20000.0], [56581.5, 150.0], [56584.0, 870.0], [56588.5, 7120.0]]"
6,2021-11-19 10:01:40.336,"[[56545.5, 10000.0], [56545.0, 5880.0], [56540.0, 20.0], [56539.0, 10000.0], [56536.5, 150.0], [56535.5, 20000.0], [56534.0, 2000.0], [56532.0, 2500.0], [56531.5, 16780.0], [56528.0, 16540.0]]","[[56546.0, 500.0], [56569.5, 2000.0], [56577.5, 5510.0], [56578.0, 30000.0], [56578.5, 510.0], [56581.5, 150.0], [56582.5, 100.0], [56583.0, 19800.0], [56583.5, 20000.0], [56588.0, 10000.0]]"
7,2021-11-19 10:01:40.667,"[[56545.5, 49700.0], [56545.0, 5880.0], [56543.0, 2000.0], [56539.0, 10000.0], [56536.5, 150.0], [56535.5, 20000.0], [56534.0, 28000.0], [56532.0, 2500.0], [56531.5, 16780.0], [56528.0, 16540.0]]","[[56546.0, 7000.0], [56554.0, 510.0], [56562.0, 2000.0], [56569.5, 6930.0], [56573.0, 150.0], [56577.5, 5000.0], [56578.0, 30000.0], [56578.5, 510.0], [56580.0, 143010.0], [56580.5, 20000.0]]"
8,2021-11-19 10:01:40.964,"[[56533.0, 7550.0], [56530.0, 20000.0], [56529.0, 2000.0], [56528.5, 3000.0], [56525.0, 2000.0], [56524.5, 7390.0], [56524.0, 26450.0], [56523.0, 5000.0], [56522.5, 1370.0], [56522.0, 260.0]]","[[56533.5, 97450.0], [56539.0, 20.0], [56544.5, 74700.0], [56546.0, 500.0], [56551.0, 4710.0], [56551.5, 510.0], [56552.5, 50000.0], [56554.0, 510.0], [56556.0, 5000.0], [56559.5, 14130.0]]"
9,2021-11-19 10:01:41.306,"[[56533.0, 7550.0], [56524.0, 450.0], [56523.5, 20.0], [56522.0, 110.0], [56518.5, 10000.0], [56518.0, 1810.0], [56517.5, 46290.0], [56516.0, 20000.0], [56512.5, 2000.0], [56510.5, 5580.0]]","[[56533.5, 84800.0], [56539.0, 4710.0], [56544.5, 74700.0], [56546.0, 500.0], [56548.5, 50000.0], [56549.5, 2000.0], [56551.5, 510.0], [56552.0, 14130.0], [56554.0, 510.0], [56555.0, 90.0]]"
10,2021-11-19 10:01:41.656,"[[56533.0, 7570.0], [56524.0, 450.0], [56523.5, 20.0], [56518.0, 1000.0], [56516.0, 20000.0], [56512.5, 5000.0], [56510.5, 7380.0], [56510.0, 26000.0], [56509.5, 2150.0], [56508.0, 300.0]]","[[56533.5, 84800.0], [56535.0, 1000.0], [56537.0, 3000.0], [56539.0, 2000.0], [56540.5, 4710.0], [56544.5, 74700.0], [56546.0, 500.0], [56547.5, 10000.0], [56548.0, 5000.0], [56548.5, 50000.0]]"
11,2021-11-19 10:01:41.969,"[[56533.0, 7610.0], [56530.0, 1000.0], [56526.5, 20.0], [56524.0, 450.0], [56515.0, 25000.0], [56512.5, 3370.0], [56510.5, 7380.0], [56510.0, 26000.0], [56509.5, 2150.0], [56508.0, 300.0]]","[[56533.5, 6340.0], [56541.0, 1000.0], [56543.5, 4710.0], [56544.5, 74700.0], [56546.0, 500.0], [56546.5, 3000.0], [56548.5, 50000.0], [56551.0, 2000.0], [56551.5, 510.0], [56552.0, 14130.0]]"
12,2021-11-19 10:01:42.311,"[[56545.5, 87200.0], [56543.0, 74700.0], [56540.5, 20.0], [56533.0, 7610.0], [56527.0, 2000.0], [56525.0, 150.0], [56524.0, 450.0], [56522.0, 5000.0], [56520.0, 20000.0], [56515.0, 7390.0]]","[[56546.0, 500.0], [56550.5, 4710.0], [56555.0, 5090.0], [56560.0, 10010.0], [56561.5, 14140.0], [56562.0, 150.0], [56569.5, 15000.0], [56572.0, 15280.0], [56573.5, 20000.0], [56574.0, 4810.0]]"
13,2021-11-19 10:01:42.640,"[[56560.0, 77950.0], [56552.0, 20.0], [56550.5, 74700.0], [56550.0, 75700.0], [56546.0, 2000.0], [56545.5, 74700.0], [56543.0, 74700.0], [56540.5, 20150.0], [56538.5, 5000.0], [56533.0, 7610.0]]","[[56560.5, 17560.0], [56571.5, 16340.0], [56574.5, 150.0], [56575.0, 3000.0], [56577.5, 6810.0], [56578.0, 30000.0], [56580.0, 19800.0], [56581.0, 5000.0], [56584.0, 14140.0], [56586.0, 2500.0]]"
