,timestamp,bids,asks
0,2021-11-19 10:07:06.976,"[[56802.5, 30430.0], [56802.0, 7800.0], [56801.5, 1000.0], [56801.0, 40.0], [56794.5, 3000.0], [56794.0, 20.0], [56790.5, 5000.0], [56789.0, 2180.0], [56788.0, 1750.0], [56787.5, 50000.0]]","[[56803.0, 16710.0], [56807.5, 1000.0], [56808.5, 1820.0], [56811.0, 3500.0], [56815.5, 41580.0], [56817.0, 15400.0], [56817.5, 150.0], [56818.0, 3960.0], [56818.5, 69820.0], [56822.5, 540.0]]"
1,2021-11-19 10:07:07.138,"[[56802.5, 30430.0], [56802.0, 7800.0], [56801.5, 1000.0], [56797.0, 40.0], [56794.5, 3000.0], [56794.0, 20.0], [56790.5, 5000.0], [56789.0, 2180.0], [56788.0, 1750.0], [56787.5, 50000.0]]","[[56803.0, 16710.0], [56807.5, 1000.0], [56808.5, 1820.0], [56811.0, 3000.0], [56815.5, 41580.0], [56817.0, 15400.0], [56817.5, 150.0], [56818.0, 2000.0], [56818.5, 69820.0], [56822.5, 540.0]]"
2,2021-11-19 10:07:07.519,"[[56802.5, 39980.0], [56802.0, 7800.0], [56801.5, 1000.0], [56797.0, 40.0], [56795.5, 20.0], [56794.5, 3000.0], [56790.5, 5000.0], [56789.0, 2180.0], [56788.0, 1750.0], [56787.5, 50000.0]]","[[56803.0, 14210.0], [56807.5, 1000.0], [56808.5, 1820.0], [56811.0, 3000.0], [56815.5, 21580.0], [56817.0, 15400.0], [56818.0, 2000.0], [56820.5, 20000.0], [56822.5, 540.0], [56824.0, 5150.0]]"
3,2021-11-19 10:07:07.838,"[[56807.0, 2620.0], [56802.5, 10.0], [56801.5, 1000.0], [56799.0, 20.0], [56797.0, 40.0], [56794.5, 3000.0], [56793.0, 1750.0], [56792.5, 50000.0], [56790.5, 5000.0], [56789.0, 2180.0]]","[[56807.5, 1000.0], [56808.5, 1820.0], [56811.0, 3000.0], [56813.0, 11090.0], [56814.0, 14220.0], [56815.5, 21580.0], [56818.0, 2000.0], [56820.5, 20000.0], [56824.0, 5150.0], [56825.0, 100.0]]"
4,2021-11-19 10:07:08.163,"[[56807.0, 30.0], [56799.0, 20.0], [56796.5, 1000.0], [56794.5, 3000.0], [56793.0, 40.0], [56792.5, 1750.0], [56790.5, 5000.0], [56788.5, 2170.0], [56787.0, 5400.0], [56786.5, 50000.0]]","[[56807.5, 26000.0], [56808.5, 1820.0], [56811.0, 3000.0], [56813.0, 11090.0], [56814.0, 14220.0], [56815.5, 21580.0], [56818.0, 2000.0], [56820.0, 15680.0], [56820.5, 20000.0], [56821.5, 1960.0]]"
5,2021-11-19 10:07:08.486,"[[56794.5, 15100.0], [56786.0, 510.0], [56785.5, 2170.0], [56784.5, 20.0], [56784.0, 510.0], [56780.5, 2000.0], [56780.0, 3900.0], [56778.0, 15350.0], [56777.5, 10010.0], [56776.0, 2590.0]]","[[56795.0, 3750.0], [56807.0, 70900.0], [56808.5, 1820.0], [56811.0, 3000.0], [56812.5, 100.0], [56813.0, 11090.0], [56814.0, 14220.0], [56815.0, 7400.0], [56815.5, 21580.0], [56820.0, 15680.0]]"
6,2021-11-19 10:07:08.841,"[[56800.5, 20000.0], [56800.0, 2600.0], [56797.0, 1000.0], [56795.5, 2170.0], [56794.5, 39800.0], [56793.0, 20.0], [56791.0, 40.0], [56788.0, 3000.0], [56787.5, 1750.0], [56787.0, 50000.0]]","[[56801.0, 1000.0], [56806.0, 14220.0], [56808.5, 1820.0], [56809.5, 5000.0], [56810.0, 3000.0], [56812.5, 100.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.0, 1960.0], [56817.5, 150.0]]"
7,2021-11-19 10:07:09.171,"[[56805.0, 2700.0], [56799.5, 1000.0], [56796.0, 20.0], [56795.5, 2170.0], [56794.5, 39700.0], [56793.0, 3000.0], [56791.0, 40.0], [56788.0, 5000.0], [56786.0, 510.0], [56784.0, 510.0]]","[[56805.5, 21000.0], [56806.0, 14220.0], [56808.5, 1820.0], [56810.0, 3000.0], [56812.0, 1960.0], [56813.0, 11090.0], [56815.5, 16580.0], [56817.0, 5000.0], [56817.5, 150.0], [56818.0, 20000.0]]"
8,2021-11-19 10:07:09.506,"[[56805.0, 12700.0], [56796.0, 20.0], [56795.0, 2800.0], [56794.5, 39700.0], [56793.0, 3000.0], [56790.5, 50040.0], [56788.0, 5000.0], [56786.0, 510.0], [56785.5, 150.0], [56784.0, 510.0]]","[[56805.5, 1000.0], [56806.0, 14220.0], [56808.5, 1820.0], [56810.0, 3000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56817.0, 5000.0], [56817.5, 150.0], [56820.0, 15680.0], [56821.5, 66860.0]]"
9,2021-11-19 10:07:09.836,"[[56805.5, 43000.0], [56805.0, 2600.0], [56800.0, 20.0], [56794.0, 5000.0], [56791.0, 1750.0], [56790.5, 50040.0], [56790.0, 150.0], [56788.5, 2800.0], [56786.5, 570.0], [56786.0, 510.0]]","[[56806.0, 14220.0], [56808.5, 1820.0], [56813.0, 11090.0], [56815.5, 16580.0], [56820.0, 15680.0], [56821.5, 66860.0], [56823.5, 8150.0], [56824.0, 25150.0], [56826.0, 10000.0], [56827.5, 90.0]]"
10,2021-11-19 10:07:10.166,"[[56805.5, 43000.0], [56805.0, 2600.0], [56801.0, 40.0], [56800.0, 20.0], [56794.0, 5000.0], [56791.0, 1750.0], [56790.5, 50000.0], [56790.0, 150.0], [56788.5, 2800.0], [56786.5, 570.0]]","[[56806.0, 14220.0], [56808.5, 1820.0], [56813.0, 11090.0], [56815.5, 16580.0], [56820.0, 15680.0], [56821.5, 66860.0], [56823.5, 7560.0], [56824.0, 25150.0], [56826.0, 10000.0], [56827.0, 1960.0]]"
11,2021-11-19 10:07:10.495,"[[56805.5, 38000.0], [56805.0, 2600.0], [56800.0, 20.0], [56796.5, 40.0], [56794.0, 5000.0], [56791.5, 16670.0], [56791.0, 1750.0], [56790.5, 50000.0], [56790.0, 150.0], [56787.5, 2800.0]]","[[56806.0, 14220.0], [56808.5, 1820.0], [56813.0, 11090.0], [56815.5, 16580.0], [56820.0, 15680.0], [56821.5, 66860.0], [56823.5, 7560.0], [56824.0, 25150.0], [56826.0, 10000.0], [56827.0, 1960.0]]"
12,2021-11-19 10:07:10.809,"[[56805.5, 28000.0], [56805.0, 3600.0], [56800.0, 20.0], [56799.5, 40.0], [56797.5, 3000.0], [56794.0, 5000.0], [56791.5, 16670.0], [56791.0, 1750.0], [56790.5, 52000.0], [56790.0, 150.0]]","[[56806.0, 14220.0], [56808.5, 1820.0], [56809.5, 1000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56817.5, 3000.0], [56820.0, 15680.0], [56821.0, 1960.0], [56823.5, 12560.0], [56824.0, 25150.0]]"
13,2021-11-19 10:07:11.145,"[[56805.5, 7700.0], [56805.0, 2600.0], [56797.5, 3040.0], [56796.0, 20.0], [56794.0, 5000.0], [56791.5, 16670.0], [56791.0, 1750.0], [56790.5, 52000.0], [56786.0, 3310.0], [56785.5, 150.0]]","[[56806.0, 29220.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.5, 5000.0], [56819.5, 1960.0], [56820.0, 15680.0], [56821.0, 20000.0], [56823.5, 150.0]]"
14,2021-11-19 10:07:11.435,"[[56805.5, 7700.0], [56799.0, 1000.0], [56797.5, 3000.0], [56796.0, 20.0], [56795.0, 2800.0], [56794.5, 40.0], [56794.0, 5000.0], [56791.5, 16670.0], [56791.0, 1750.0], [56790.5, 52000.0]]","[[56806.0, 29220.0], [56807.5, 1000.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.5, 5000.0], [56819.0, 1760.0], [56819.5, 1960.0], [56820.0, 15680.0]]"
15,2021-11-19 10:07:11.818,"[[56798.0, 690.0], [56792.5, 3000.0], [56790.5, 2040.0], [56787.5, 6750.0], [56786.5, 5370.0], [56786.0, 530.0], [56785.5, 150.0], [56784.0, 510.0], [56782.5, 2800.0], [56781.5, 50000.0]]","[[56798.5, 84270.0], [56803.5, 1000.0], [56805.5, 70900.0], [56806.0, 85120.0], [56808.5, 1820.0], [56812.0, 4960.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.5, 5000.0], [56821.0, 20000.0]]"
16,2021-11-19 10:07:12.138,"[[56798.0, 13290.0], [56793.5, 40.0], [56792.5, 3000.0], [56790.5, 2000.0], [56789.0, 20.0], [56787.5, 5000.0], [56786.0, 510.0], [56785.5, 150.0], [56784.0, 2510.0], [56783.0, 50000.0]]","[[56798.5, 13370.0], [56803.5, 1000.0], [56805.5, 70900.0], [56806.0, 14220.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.5, 6960.0], [56818.0, 20000.0]]"
17,2021-11-19 10:07:12.475,"[[56797.5, 2600.0], [56793.5, 40.0], [56792.5, 3000.0], [56790.5, 2000.0], [56788.5, 2800.0], [56787.5, 5000.0], [56786.0, 510.0], [56785.5, 150.0], [56784.5, 15600.0], [56784.0, 2510.0]]","[[56798.5, 77150.0], [56803.5, 1000.0], [56805.5, 70900.0], [56806.0, 14220.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.5, 6960.0], [56818.0, 20000.0]]"
18,2021-11-19 10:07:12.781,"[[56797.5, 2640.0], [56792.5, 3000.0], [56790.5, 2000.0], [56788.5, 20.0], [56787.5, 5000.0], [56786.0, 510.0], [56785.5, 150.0], [56784.5, 15580.0], [56784.0, 2510.0], [56783.5, 2800.0]]","[[56798.0, 12500.0], [56803.5, 1000.0], [56806.0, 14220.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 13050.0], [56815.5, 16580.0], [56816.5, 5000.0], [56818.0, 20000.0], [56819.0, 9410.0]]"
19,2021-11-19 10:07:13.050,"[[56797.5, 2640.0], [56792.5, 3000.0], [56790.5, 2000.0], [56788.5, 20.0], [56787.5, 5000.0], [56786.0, 510.0], [56785.5, 150.0], [56784.5, 15580.0], [56784.0, 2510.0], [56783.5, 2800.0]]","[[56798.0, 12500.0], [56803.5, 1000.0], [56806.0, 14220.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 13050.0], [56815.5, 16580.0], [56816.5, 5000.0], [56818.0, 20000.0], [56819.0, 9410.0]]"
20,2021-11-19 10:07:13.462,"[[56797.5, 8640.0], [56792.5, 3000.0], [56790.5, 2000.0], [56788.5, 20.0], [56787.5, 5000.0], [56786.0, 510.0], [56785.5, 150.0], [56784.5, 15580.0], [56784.0, 2510.0], [56783.5, 2800.0]]","[[56798.0, 12500.0], [56806.0, 14220.0], [56806.5, 1000.0], [56808.5, 1820.0], [56812.0, 3000.0], [56813.0, 13050.0], [56815.5, 16580.0], [56816.5, 5000.0], [56818.0, 20000.0], [56819.0, 9410.0]]"
21,2021-11-19 10:07:13.798,"[[56805.5, 2600.0], [56803.0, 1000.0], [56800.5, 40.0], [56797.5, 3000.0], [56796.0, 20.0], [56793.5, 5000.0], [56791.0, 1740.0], [56790.5, 52000.0], [56786.0, 510.0], [56785.5, 150.0]]","[[56806.0, 69220.0], [56808.5, 1820.0], [56809.5, 1000.0], [56813.0, 11090.0], [56815.5, 16580.0], [56816.5, 5000.0], [56818.5, 3000.0], [56819.0, 2000.0], [56819.5, 68140.0], [56821.0, 20000.0]]"
22,2021-11-19 10:07:14.113,"[[56812.5, 114650.0], [56808.5, 70900.0], [56808.0, 133770.0], [56803.5, 20.0], [56801.5, 2000.0], [56801.0, 40.0], [56794.0, 1740.0], [56793.5, 55000.0], [56790.5, 150.0], [56788.0, 12000.0]]","[[56813.0, 11090.0], [56815.5, 16580.0], [56817.0, 3000.0], [56823.5, 2000.0], [56824.0, 5150.0], [56829.0, 20000.0], [56830.5, 1700.0], [56831.0, 1830.0], [56831.5, 10000.0], [56832.0, 3000.0]]"
