,timestamp,bids,asks
0,2021-11-20 08:55:19.676,"[[57849.0, 6500.0], [57842.5, 100.0], [57842.0, 17260.0], [57841.5, 1000.0], [57841.0, 121560.0], [57840.5, 9360.0], [57837.0, 580.0], [57836.0, 3000.0], [57834.0, 16860.0], [57833.5, 640.0]]","[[57849.5, 13690.0], [57856.0, 20000.0], [57857.0, 2000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57862.5, 3000.0], [57863.5, 5580.0], [57865.0, 90.0]]"
1,2021-11-20 08:55:19.792,"[[57849.0, 6500.0], [57842.5, 100.0], [57842.0, 17260.0], [57841.5, 1000.0], [57841.0, 115030.0], [57840.5, 9360.0], [57837.0, 580.0], [57836.0, 3000.0], [57834.0, 16860.0], [57833.5, 640.0]]","[[57849.5, 3690.0], [57856.0, 20000.0], [57857.0, 2000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57862.5, 3000.0], [57863.5, 5580.0], [57869.0, 10000.0]]"
2,2021-11-20 08:55:20.121,"[[57849.0, 6510.0], [57842.5, 100.0], [57842.0, 17260.0], [57841.5, 1000.0], [57841.0, 115030.0], [57840.0, 9360.0], [57837.0, 580.0], [57836.0, 3000.0], [57834.5, 16790.0], [57834.0, 16860.0]]","[[57849.5, 3690.0], [57854.0, 1000.0], [57856.0, 20000.0], [57857.0, 1000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57862.5, 3000.0], [57863.5, 5580.0]]"
3,2021-11-20 08:55:20.451,"[[57849.0, 6510.0], [57842.5, 100.0], [57842.0, 17260.0], [57841.5, 1000.0], [57841.0, 115030.0], [57840.0, 9360.0], [57837.0, 580.0], [57836.5, 2000.0], [57836.0, 3000.0], [57834.5, 16790.0]]","[[57849.5, 3690.0], [57851.0, 1000.0], [57856.0, 20000.0], [57857.0, 1000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57862.5, 3000.0], [57863.5, 5580.0]]"
4,2021-11-20 08:55:20.742,"[[57849.0, 6510.0], [57842.5, 100.0], [57842.0, 17260.0], [57841.5, 1000.0], [57841.0, 115030.0], [57840.0, 9360.0], [57837.0, 580.0], [57836.5, 2000.0], [57836.0, 3000.0], [57834.5, 16790.0]]","[[57849.5, 3690.0], [57851.0, 1000.0], [57856.0, 20000.0], [57857.0, 1000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57862.5, 3000.0], [57863.5, 5580.0]]"
5,2021-11-20 08:55:21.098,"[[57849.0, 6510.0], [57842.5, 100.0], [57842.0, 17260.0], [57841.5, 1000.0], [57841.0, 115030.0], [57839.5, 9360.0], [57837.0, 580.0], [57836.5, 2000.0], [57836.0, 3000.0], [57834.5, 16790.0]]","[[57849.5, 3690.0], [57851.0, 1000.0], [57856.0, 20000.0], [57857.0, 1000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57862.5, 3000.0], [57863.5, 5580.0]]"
6,2021-11-20 08:55:21.445,"[[57849.0, 30.0], [57842.5, 100.0], [57842.0, 17240.0], [57841.0, 115030.0], [57840.0, 9360.0], [57837.0, 600.0], [57834.5, 16790.0], [57834.0, 16860.0], [57833.5, 640.0], [57831.0, 680.0]]","[[57849.5, 78390.0], [57850.0, 20000.0], [57850.5, 1000.0], [57858.5, 760.0], [57860.0, 2000.0], [57861.0, 10.0], [57861.5, 20270.0], [57863.5, 8580.0], [57865.5, 400.0], [57869.0, 10000.0]]"
7,2021-11-20 08:55:21.762,"[[57849.0, 30.0], [57841.5, 100.0], [57841.0, 115030.0], [57837.5, 9360.0], [57837.0, 600.0], [57833.5, 640.0], [57832.5, 1000.0], [57831.0, 100.0], [57825.5, 3000.0], [57824.5, 10.0]]","[[57849.5, 29990.0], [57850.0, 20000.0], [57850.5, 1000.0], [57853.5, 3000.0], [57857.0, 5000.0], [57861.0, 10.0], [57861.5, 20270.0], [57863.5, 3580.0], [57865.5, 400.0], [57868.5, 5000.0]]"
8,2021-11-20 08:55:22.107,"[[57849.0, 30.0], [57841.5, 100.0], [57841.0, 115030.0], [57837.0, 600.0], [57833.5, 640.0], [57832.5, 10360.0], [57831.0, 100.0], [57825.5, 5000.0], [57824.5, 15620.0], [57824.0, 510.0]]","[[57849.5, 20750.0], [57850.0, 20000.0], [57850.5, 1000.0], [57853.5, 3000.0], [57857.0, 5000.0], [57861.0, 5010.0], [57861.5, 20270.0], [57863.5, 3580.0], [57865.5, 400.0], [57866.0, 2000.0]]"
9,2021-11-20 08:55:22.426,"[[57849.0, 30.0], [57841.5, 100.0], [57841.0, 115030.0], [57837.0, 600.0], [57833.5, 640.0], [57832.5, 10360.0], [57831.0, 100.0], [57825.5, 5000.0], [57824.5, 10.0], [57824.0, 510.0]]","[[57849.5, 91850.0], [57850.0, 20000.0], [57850.5, 1000.0], [57853.5, 3000.0], [57857.0, 5000.0], [57861.0, 5010.0], [57861.5, 20270.0], [57863.5, 3580.0], [57865.5, 400.0], [57866.0, 2000.0]]"
