,timestamp,bids,asks
0,2021-11-19 10:12:33.328,"[[56688.5, 70300.0], [56685.5, 3600.0], [56684.0, 410.0], [56680.0, 7390.0], [56679.5, 70310.0], [56676.0, 24100.0], [56674.5, 41000.0], [56672.0, 3000.0], [56670.5, 2870.0], [56670.0, 800.0]]","[[56689.0, 2500.0], [56698.0, 10000.0], [56698.5, 61300.0], [56700.0, 10.0], [56700.5, 2000.0], [56701.5, 3000.0], [56705.0, 46380.0], [56707.0, 5510.0], [56709.0, 30100.0], [56710.0, 510.0]]"
1,2021-11-19 10:12:33.641,"[[56693.0, 17900.0], [56685.5, 40950.0], [56685.0, 7640.0], [56684.0, 410.0], [56679.5, 1260.0], [56676.0, 19840.0], [56675.0, 19840.0], [56674.5, 41000.0], [56672.0, 13000.0], [56671.5, 19840.0]]","[[56693.5, 2000.0], [56694.0, 20.0], [56697.0, 46360.0], [56698.5, 1030.0], [56700.0, 10.0], [56701.5, 3000.0], [56707.0, 5510.0], [56708.0, 15840.0], [56708.5, 7390.0], [56709.0, 10100.0]]"
2,2021-11-19 10:12:33.971,"[[56701.0, 6500.0], [56685.5, 3600.0], [56685.0, 7640.0], [56684.0, 410.0], [56679.5, 1260.0], [56677.0, 800.0], [56676.5, 740.0], [56676.0, 19840.0], [56675.0, 27230.0], [56674.5, 46000.0]]","[[56701.5, 53460.0], [56707.0, 510.0], [56708.0, 17860.0], [56708.5, 66360.0], [56709.0, 10100.0], [56710.0, 510.0], [56711.5, 15610.0], [56712.0, 600.0], [56714.0, 16360.0], [56716.0, 10160.0]]"
3,2021-11-19 10:12:34.300,"[[56688.5, 2000.0], [56685.5, 3600.0], [56684.0, 410.0], [56679.5, 1260.0], [56676.0, 19840.0], [56675.0, 21650.0], [56672.0, 3000.0], [56671.5, 19840.0], [56670.5, 2870.0], [56667.5, 5580.0]]","[[56689.0, 57770.0], [56689.5, 2500.0], [56696.0, 20.0], [56699.0, 46360.0], [56699.5, 22000.0], [56700.5, 70300.0], [56701.5, 56640.0], [56706.0, 200.0], [56706.5, 7950.0], [56707.0, 510.0]]"
4,2021-11-19 10:12:34.631,"[[56685.5, 100700.0], [56684.0, 410.0], [56679.5, 1260.0], [56672.0, 10000.0], [56669.5, 3600.0], [56666.5, 19830.0], [56665.5, 22040.0], [56664.0, 23820.0], [56662.5, 15690.0], [56662.0, 19830.0]]","[[56686.0, 29050.0], [56692.5, 46380.0], [56693.0, 20000.0], [56694.0, 2000.0], [56697.0, 100.0], [56704.0, 3600.0], [56706.0, 15620.0], [56706.5, 10560.0], [56707.0, 510.0], [56707.5, 5000.0]]"
5,2021-11-19 10:12:34.961,"[[56685.5, 2600.0], [56684.0, 410.0], [56679.5, 1260.0], [56677.0, 3600.0], [56672.5, 2000.0], [56671.0, 20740.0], [56666.5, 19830.0], [56665.5, 20230.0], [56664.5, 16030.0], [56664.0, 3820.0]]","[[56686.0, 22860.0], [56691.0, 2000.0], [56692.5, 46360.0], [56694.5, 20.0], [56697.0, 20000.0], [56706.0, 15620.0], [56706.5, 560.0], [56707.0, 510.0], [56707.5, 5000.0], [56708.0, 15840.0]]"
6,2021-11-19 10:12:35.289,"[[56684.0, 410.0], [56679.5, 1260.0], [56669.5, 3600.0], [56665.5, 400.0], [56664.0, 3820.0], [56662.5, 15690.0], [56660.5, 20000.0], [56659.5, 10.0], [56657.5, 3340.0], [56655.0, 3000.0]]","[[56684.5, 60290.0], [56687.0, 2000.0], [56689.5, 20.0], [56692.0, 20000.0], [56692.5, 46360.0], [56694.0, 90.0], [56702.5, 150.0], [56704.5, 3600.0], [56705.0, 2500.0], [56706.0, 15720.0]]"
7,2021-11-19 10:12:35.623,"[[56684.0, 410.0], [56683.5, 1000.0], [56679.5, 1260.0], [56676.5, 3000.0], [56669.5, 3600.0], [56669.0, 5000.0], [56665.5, 400.0], [56665.0, 10000.0], [56664.0, 3820.0], [56662.5, 15690.0]]","[[56684.5, 60310.0], [56687.0, 2000.0], [56689.5, 20.0], [56692.0, 20000.0], [56692.5, 46360.0], [56693.0, 1000.0], [56694.0, 90.0], [56695.5, 150.0], [56698.5, 3000.0], [56704.0, 5000.0]]"
8,2021-11-19 10:12:35.953,"[[56684.0, 37760.0], [56683.5, 1000.0], [56681.0, 3000.0], [56679.5, 1260.0], [56671.5, 20000.0], [56671.0, 740.0], [56669.5, 3600.0], [56665.5, 550.0], [56664.0, 5820.0], [56663.0, 19830.0]]","[[56684.5, 40.0], [56692.5, 46360.0], [56695.5, 20.0], [56697.0, 20000.0], [56701.5, 2000.0], [56704.5, 3600.0], [56705.5, 150.0], [56706.0, 15620.0], [56707.0, 510.0], [56707.5, 1810.0]]"
9,2021-11-19 10:12:36.268,"[[56684.0, 37760.0], [56683.5, 1000.0], [56681.0, 5000.0], [56679.5, 1260.0], [56677.0, 6600.0], [56672.0, 10000.0], [56671.0, 740.0], [56666.0, 7390.0], [56665.5, 40380.0], [56664.5, 19830.0]]","[[56684.5, 40.0], [56692.5, 46360.0], [56694.0, 20.0], [56696.5, 2000.0], [56697.0, 20000.0], [56705.5, 14170.0], [56707.0, 510.0], [56707.5, 540.0], [56708.0, 15840.0], [56709.0, 10010.0]]"
