,timestamp,bids,asks
0,2021-11-17 07:58:29.747,"[[59559.0, 171560.0], [59558.0, 1000.0], [59557.5, 2000.0], [59556.5, 19100.0], [59554.0, 3000.0], [59552.5, 25000.0], [59551.5, 2000.0], [59550.5, 100.0], [59549.0, 109100.0], [59546.5, 1100.0]]","[[59559.5, 10970.0], [59564.5, 160.0], [59568.0, 11770.0], [59569.0, 1000.0], [59570.0, 7120.0], [59574.0, 20.0], [59576.5, 11770.0], [59577.0, 19350.0], [59580.5, 2000.0], [59581.0, 10000.0]]"
1,2021-11-17 07:58:30.011,"[[59559.0, 171560.0], [59558.0, 1000.0], [59557.5, 2000.0], [59556.5, 19100.0], [59554.0, 3000.0], [59552.5, 25000.0], [59551.5, 2000.0], [59550.5, 100.0], [59549.0, 10000.0], [59547.0, 16880.0]]","[[59559.5, 10970.0], [59564.5, 160.0], [59568.0, 11770.0], [59569.0, 1000.0], [59570.0, 7120.0], [59573.0, 1000.0], [59574.0, 20.0], [59576.5, 11770.0], [59577.0, 18350.0], [59580.5, 2000.0]]"
2,2021-11-17 07:58:30.333,"[[59559.0, 171560.0], [59558.0, 1000.0], [59557.5, 2000.0], [59556.5, 19100.0], [59554.0, 3000.0], [59552.5, 20000.0], [59550.5, 100.0], [59549.0, 10000.0], [59547.0, 16880.0], [59546.5, 1100.0]]","[[59559.5, 10970.0], [59564.5, 160.0], [59568.0, 11770.0], [59569.0, 2000.0], [59570.0, 7120.0], [59573.0, 2000.0], [59574.0, 20.0], [59576.5, 28430.0], [59577.0, 18350.0], [59577.5, 3000.0]]"
3,2021-11-17 07:58:30.660,"[[59559.0, 158760.0], [59558.0, 1000.0], [59557.5, 2000.0], [59556.5, 19100.0], [59554.0, 3000.0], [59552.5, 20000.0], [59551.5, 5000.0], [59550.5, 100.0], [59549.0, 10000.0], [59547.0, 16880.0]]","[[59559.5, 10970.0], [59564.5, 160.0], [59568.0, 11770.0], [59569.0, 1000.0], [59570.0, 7120.0], [59571.0, 510.0], [59574.0, 20.0], [59576.0, 10800.0], [59576.5, 11770.0], [59577.0, 18350.0]]"
4,2021-11-17 07:58:30.988,"[[59559.0, 153760.0], [59558.0, 1000.0], [59557.5, 2000.0], [59556.5, 19100.0], [59554.0, 3000.0], [59552.5, 20000.0], [59551.5, 5000.0], [59550.5, 100.0], [59549.0, 10000.0], [59547.0, 16880.0]]","[[59559.5, 10970.0], [59564.5, 160.0], [59568.0, 11770.0], [59569.0, 1000.0], [59570.0, 7120.0], [59571.0, 510.0], [59574.0, 20.0], [59575.0, 2000.0], [59576.5, 21770.0], [59577.0, 18350.0]]"
