,timestamp,bids,asks
0,2021-11-19 09:51:49.272,"[[56835.5, 1020.0], [56833.0, 930.0], [56832.5, 3000.0], [56830.5, 5000.0], [56828.0, 170.0], [56826.0, 10000.0], [56825.0, 19890.0], [56824.0, 19890.0], [56821.0, 19890.0], [56819.5, 15000.0]]","[[56836.0, 2760.0], [56840.5, 510.0], [56842.5, 1070.0], [56847.0, 10010.0], [56848.0, 14920.0], [56850.5, 16950.0], [56851.0, 1000.0], [56853.5, 16690.0], [56854.0, 570.0], [56854.5, 100.0]]"
1,2021-11-19 09:51:49.313,"[[56840.0, 2860.0], [56835.5, 1020.0], [56833.0, 930.0], [56832.5, 3000.0], [56832.0, 20.0], [56830.5, 5000.0], [56828.0, 150.0], [56826.0, 15820.0], [56825.0, 19890.0], [56824.0, 19890.0]]","[[56840.5, 510.0], [56842.5, 1070.0], [56847.0, 10010.0], [56848.0, 14920.0], [56850.5, 16950.0], [56851.0, 1000.0], [56853.5, 16690.0], [56854.0, 570.0], [56854.5, 100.0], [56855.5, 20840.0]]"
2,2021-11-19 09:51:49.608,"[[56840.0, 2880.0], [56835.5, 1000.0], [56833.0, 930.0], [56832.5, 3000.0], [56832.0, 20.0], [56830.5, 5000.0], [56828.0, 150.0], [56826.0, 15820.0], [56825.0, 19890.0], [56824.0, 19890.0]]","[[56840.5, 510.0], [56842.0, 1070.0], [56847.0, 10010.0], [56848.0, 14920.0], [56850.5, 16950.0], [56851.0, 1000.0], [56853.5, 16690.0], [56854.5, 100.0], [56855.5, 20840.0], [56857.0, 660.0]]"
3,2021-11-19 09:51:49.974,"[[56841.5, 37660.0], [56840.0, 1020.0], [56837.5, 3000.0], [56834.5, 20.0], [56833.0, 930.0], [56828.0, 150.0], [56826.0, 15820.0], [56825.0, 19890.0], [56824.0, 19890.0], [56822.0, 20000.0]]","[[56845.5, 1070.0], [56847.0, 10010.0], [56848.0, 14920.0], [56850.5, 16950.0], [56854.5, 610.0], [56855.5, 17840.0], [56857.0, 510.0], [56860.0, 3000.0], [56860.5, 3600.0], [56861.0, 540.0]]"
